title,description,time,photo
,,,
"""Большие цифры"". Замглавы Минздрава рассказала о выявлении гепатита у кыргызстанцев",https://kaktus.media/doc/492417_bolshie_cifry._zamglavy_minzdrava_rasskazala_o_vyiavlenii_gepatita_y_kyrgyzstancev.html,12:29,  https://data.kaktus.media/image/small/2023-12-14_11-49-26_639259.jpg
,,,
"Курс валют в комбанках 14 декабря: цена на евро резко подскочила, доллар подешевел",https://kaktus.media/doc/492404_kyrs_valut_v_kombankah_14_dekabria:_cena_na_evro_rezko_podskochila_dollar_podeshevel.html,12:11,https://data.kaktus.media/image/small/2023-12-14_12-02-14_516915.jpg
,,,
"""Не успевали убирать"". Мэрия Бишкека докупит снегоуборочную технику на 125 млн сомов",https://kaktus.media/doc/492418_ne_yspevali_ybirat._meriia_bishkeka_dokypit_snegoyborochnyu_tehniky_na_125_mln_somov.html,12:10,https://data.kaktus.media/image/small/2023-12-14_12-06-36_733807.jpg
,,,
"""Алтын бала"". Камила Талиева предложила назначить пособие за третьего ребенка",https://kaktus.media/doc/492409_altyn_bala._kamila_talieva_predlojila_naznachit_posobie_za_tretego_rebenka.html,12:03,https://data.kaktus.media/image/small/2023-12-14_11-44-29_794939.jpg
,,,
"""5 раз сдавала"". Депутат вступился за водителей-мигрантов на примере племянницы Жапарова",https://kaktus.media/doc/492411_5_raz_sdavala._depytat_vstypilsia_za_voditeley_migrantov_na_primere_plemiannicy_japarova.html,11:59,https://data.kaktus.media/image/small/2023-12-14_11-50-20_865130.jpg
,,,
"""Не могут даже коня зарезать"". Глава кабмина высказался о юбилеях известных кыргызстанцев",https://kaktus.media/doc/492413_ne_mogyt_daje_konia_zarezat._glava_kabmina_vyskazalsia_o_ubileiah_izvestnyh_kyrgyzstancev.html,11:40,https://data.kaktus.media/image/small/2023-12-14_11-34-43_644904.jpg
,,,
Замглавы Минздрава: В Бишкеке откроют еще одну детскую поликлинику,https://kaktus.media/doc/492412_zamglavy_minzdrava:_v_bishkeke_otkrout_eshe_odny_detskyu_polikliniky.html,11:39,https://data.kaktus.media/image/small/2023-12-14_11-19-50_597431.jpg
,,,
Почему Бишкек завален снегом. Версия мэра (видео),https://kaktus.media/doc/492362_pochemy_bishkek_zavalen_snegom._versiia_mera_video.html,11:29,https://data.kaktus.media/image/small/2023-12-13_18-16-12_881979.jpg
,,,
